station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.4108522768565
Abbey Road,Beckton,1,599,442,8510.047005691962
Abbey Road,Blackwall,3,599,665,3775.359872440721
Abbey Road,Canary Wharf,1,599,58772,5086.404941033137
Abbey Road,Canning Town,37,599,15428,2228.874184646684
Abbey Road,Crossharbour,1,599,1208,6686.335036451772
Abbey Road,Custom House,0,599,845,3824.7899361211234
Abbey Road,Cutty Sark,2,599,1748,8503.736582025927
Abbey Road,Cyprus,7,599,850,6532.037185184198
Abbey Road,Devons Road,1,599,611,3958.290432241367
Abbey Road,East India,2,599,1522,3384.0607032803628
Abbey Road,Island Gardens,2,599,691,7706.14539257492
Abbey Road,King George V,5,599,800,6805.940949292823
Abbey Road,Langdon Park,8,599,1989,4810.6246419311165
Abbey Road,Lewisham,0,599,2400,11213.267832428128
Abbey Road,Limehouse,2,599,2969,6154.423282142327
Abbey Road,London City Airport,4,599,1941,5777.364535548587
Abbey Road,Pontoon Dock,8,599,1123,4636.026196749146
Abbey Road,Poplar,0,599,1301,4498.312601743539
Abbey Road,Prince Regent,1,599,754,4349.277514093388
Abbey Road,Royal Albert,4,599,684,5237.697526411244
Abbey Road,Shadwell,1,599,7447,6583.487279124027
Abbey Road,South Quay,7,599,4591,6089.597423698036
Abbey Road,Star Lane,7,599,1052,1397.47137890294
Abbey Road,Stratford,285,599,55954,1174.5026044800688
Abbey Road,Stratford High Street,10,599,788,655.2042983530924
Abbey Road,Stratford International,33,599,1546,2495.568417614397
Abbey Road,West Ham,130,599,5487,533.8352508210071
Abbey Road,West Silvertown,2,599,893,3879.977381453336
Abbey Road,Westferry,3,599,1250,5180.817720490788
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039481
Acton Central,Barking,0,1224,7004,28880.972865664182
Acton Central,Blackhorse Road,0,1224,2955,19049.78805617011
Acton Central,Brondesbury,76,1224,712,6439.2556257838105
Acton Central,Brondesbury Park,31,1224,895,5697.084875423228
Acton Central,Bushey,0,1224,456,20283.379109170284
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755979444
Acton Central,Camden Road,52,1224,3784,12267.545294206606
Acton Central,Canada Water,0,1224,20443,19290.07928874831
Acton Central,Canonbury,3,1224,846,15826.7924298094
Acton Central,Carpenders Park,0,1224,340,18320.471265221247
Acton Central,Crouch Hill,2,1224,404,13393.27061981164
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844122655
Acton Central,Denmark Hill,0,1224,2612,19357.89835892665
Acton Central,Edmonton Green,0,1224,783,25002.170069184882
Acton Central,Euston,17,1224,16800,11674.399072071381
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.115178070017
Acton Central,Gospel Oak,18,1224,2025,10278.171828193896
Acton Central,Gunnersbury,102,1224,4775,2169.310990032772
Acton Central,Hackney Central,10,1224,2440,18297.69594442966
Acton Central,Hackney Wick,5,1224,1263,20676.617741918406
Acton Central,Haggerston,2,1224,1184,17998.652530998395
Acton Central,Hampstead Heath,59,1224,2792,9339.626725622322
Acton Central,Harlesden,0,1224,1668,4212.557746357724
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307327787
Acton Central,Harrow & Wealdstone,3,1224,1335,12880.238870772817
Acton Central,Hatch End,0,1224,93,15877.215027020857
Acton Central,Headstone Lane,4,1224,310,14731.10070050022
Acton Central,Highams Park,0,1224,390,24555.682140645215
Acton Central,Highbury & Islington,49,1224,25385,14845.686196880099
Acton Central,Homerton,3,1224,1998,19333.285665170035
Acton Central,Hoxton,4,1224,2181,18833.234110123132
Acton Central,Kensal Green,0,1224,472,4417.5951802480895
Acton Central,Kensal Rise,39,1224,1376,4694.575496267196
Acton Central,Kentish Town West,54,1224,1128,11369.31431388223
Acton Central,Kenton,2,1224,768,11096.420527706607
Acton Central,Kew Gardens,18,1224,792,3949.5334683844585
Acton Central,Kilburn High Road,0,1224,266,6866.675152554406
Acton Central,Leyton Midland Road,0,1224,445,22254.42427397257
Acton Central,Leytonstone High Road,0,1224,314,23468.52291856592
Acton Central,New Cross,1,1224,1027,22156.534671721533
Acton Central,New Cross Gate,0,1224,1340,21921.30446337833
Acton Central,North Wembley,0,1224,365,8773.693152369891
Acton Central,Queen's Park,0,1224,2167,5802.194077977945
Acton Central,Richmond,318,1224,5397,6117.653704122509
Acton Central,Shadwell,0,1224,7447,18682.770777919603
Acton Central,Shoreditch High Street,4,1224,7558,19147.938634205075
Acton Central,South Acton,7,1224,975,1152.496778575868
Acton Central,South Hampstead,3,1224,236,7843.0086785823405
Acton Central,South Kenton,0,1224,261,9709.428037681813
Acton Central,South Tottenham,0,1224,552,16758.674890669576
Acton Central,Stonebridge Park,0,1224,729,5707.496961590396
Acton Central,Stratford,11,1224,55954,22249.536628283815
Acton Central,Surrey Quays,0,1224,1005,19839.585932907852
Acton Central,Upper Holloway,4,1224,898,12178.368894659612
Acton Central,Watford High Street,3,1224,790,21597.590918512815
Acton Central,Watford Junction,5,1224,1367,23003.589873706875
Acton Central,Wembley Central,1,1224,1327,7425.588178088645
Acton Central,West Hampstead,141,1224,5856,7288.4709953286465
Acton Central,White Hart Lane,0,1224,641,22603.805837374894
Acton Central,Whitechapel,1,1224,17633,17952.141229392742
Acton Central,Willesden Junction,90,1224,4165,3065.371374658044
Acton Central,Woodgrange Park,0,1224,242,26708.602449244125
Acton Town,Aldgate,3,3745,7782,16943.75144166295
Acton Town,Aldgate East,17,3745,7932,17185.79576709542
Acton Town,Alperton,35,3745,741,4973.037607844393
Acton Town,Amersham,0,3745,256,37455.118055276595
Acton Town,Angel,11,3745,8103,15763.67606874644
Acton Town,Archway,1,3745,2193,18283.19609352684
Acton Town,Arnos Grove,1,3745,748,25901.027685646855
Acton Town,Arsenal,0,3745,315,17900.02906732493
Acton Town,Baker Street,19,3745,14973,12097.171820293173
Acton Town,Balham,0,3745,3814,18527.563073703674
Acton Town,Bank and Monument,66,3745,78549,15506.858259860704
Acton Town,Barbican,9,3745,9134,16902.254253742827
Acton Town,Barking,1,3745,7004,29077.947467841648
Acton Town,Barkingside,0,3745,262,34635.83961150605
Acton Town,Barons Court,84,3745,2956,5270.453280074943
Acton Town,Bayswater,3,3745,615,9786.720321401996
Acton Town,Becontree,0,3745,456,32372.383308707675
Acton Town,Belsize Park,0,3745,2255,17279.012555079753
Acton Town,Bermondsey,6,3745,3172,16806.49278529225
Acton Town,Bethnal Green,2,3745,4660,18755.541669292896
Acton Town,Blackfriars,39,3745,10849,14337.58185482627
Acton Town,Blackhorse Road,0,3745,2955,24646.442587410093
Acton Town,Bond Street,27,3745,20967,12250.135620043648
Acton Town,Borough,1,3745,3254,15233.285035831517
Acton Town,Boston Manor,62,3745,892,3511.6679282710056
Acton Town,Bounds Green,1,3745,778,24546.780258884814
Acton Town,Bow Road,1,3745,1193,20883.424242134453
Acton Town,Brixton,16,3745,5084,16094.3115652718
Acton Town,Bromley-by-Bow,2,3745,1613,21892.189250291594
Acton Town,Burnt Oak,0,3745,649,26950.288758618506
Acton Town,Caledonian Road,2,3745,1803,16618.024330199332
Acton Town,Camden Town,3,3745,6348,15247.156279874254
Acton Town,Canada Water,11,3745,20443,17795.994422661344
Acton Town,Canary Wharf,57,3745,58772,20397.814872497605
Acton Town,Canning Town,3,3745,15428,22941.94890956033
Acton Town,Cannon Street,18,3745,4698,15246.010565463577
Acton Town,Canons Park,0,3745,526,24459.194119262793
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175793639
Acton Town,Chalk Farm,0,3745,1329,16240.922156747862
Acton Town,Chancery Lane,20,3745,15391,13817.455888623806
Acton Town,Charing Cross,5,3745,7016,12450.65195601262
Acton Town,Chiswick Park,20,3745,1517,1274.9313280087854
Acton Town,Chorleywood,1,3745,702,30556.597472297242
Acton Town,Clapham Common,3,3745,2020,16102.64393702444
Acton Town,Clapham North,1,3745,1238,15459.889869415048
Acton Town,Clapham South,2,3745,1513,17354.95090086693
Acton Town,Cockfosters,0,3745,262,31089.760367195267
Acton Town,Colindale,0,3745,2081,25643.889002585413
Acton Town,Colliers Wood,0,3745,865,21857.99676169602
Acton Town,Covent Garden,44,3745,4355,12619.056613797296
Acton Town,Croxley,0,3745,340,26518.13202788927
Acton Town,Dagenham East,0,3745,649,35079.76530586582
Acton Town,Dagenham Heathway,0,3745,1108,33800.559919881154
Acton Town,Dollis Hill,0,3745,847,16674.32726102186
Acton Town,Ealing Broadway,107,3745,4846,2591.8865980367955
Acton Town,Ealing Common,13,3745,915,1026.6123345669619
Acton Town,Earl's Court,129,3745,6613,6775.22589911411
Acton Town,East Acton,2,3745,1505,7200.724198051897
Acton Town,East Finchley,0,3745,1253,21622.39586795001
Acton Town,East Ham,1,3745,2062,26655.663815094726
Acton Town,East Putney,13,3745,1877,11040.661049630497
Acton Town,Eastcote,2,3745,364,13360.667083193326
Acton Town,Edgware,1,3745,772,28468.403237872208
Acton Town,Edgware Road,12,3745,6868,11062.352962903298
Acton Town,Elephant & Castle,20,3745,6427,14533.3426292222
Acton Town,Embankment,16,3745,10220,12790.977786835747
Acton Town,Euston,14,3745,16800,13873.580178891827
Acton Town,Euston Square,3,3745,8093,13543.922805192442
Acton Town,Farringdon,19,3745,25592,16441.351784154052
Acton Town,Finchley Central,1,3745,1921,23992.934830486694
Acton Town,Finchley Road,0,3745,3417,13983.304035732053
Acton Town,Finsbury Park,7,3745,6769,18672.779585057517
Acton Town,Fulham Broadway,41,3745,4200,8285.356004441715
Acton Town,Gants Hill,0,3745,601,31147.551021505013
Acton Town,Gloucester Road,62,3745,5194,7685.327929545888
Acton Town,Golders Green,1,3745,1871,20842.684974071904
Acton Town,Goldhawk Road,0,3745,370,5382.205499979249
Acton Town,Goodge Street,14,3745,6457,13483.926564153226
Acton Town,Great Portland Street,10,3745,6936,12923.9759360288
Acton Town,Green Park,79,3745,26754,11101.243970153957
Acton Town,Greenford,2,3745,1157,12300.78931786048
Acton Town,Gunnersbury,0,3745,4775,3769.798869047533
Acton Town,Hammersmith,391,3745,18250,4376.635380988409
Acton Town,Hampstead,0,3745,2010,18456.999505894222
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.276187679838
Acton Town,Hatton Cross,62,3745,1219,12068.078246872266
Acton Town,Heathrow Terminal 4,10,3745,693,13944.4109129425
Acton Town,Heathrow Terminal 5,18,3745,975,16935.989448036325
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14480.757392871536
Acton Town,Hendon Central,0,3745,1878,23491.393713043733
Acton Town,High Street Kensington,16,3745,5427,8076.060017192171
Acton Town,Highbury & Islington,4,3745,25385,17165.18482145878
Acton Town,Highgate,1,3745,856,19873.393799389243
Acton Town,Hillingdon,0,3745,318,18075.85455003122
Acton Town,Holborn,117,3745,22346,13251.980961827678
Acton Town,Holland Park,0,3745,2063,9736.407590144741
Acton Town,Holloway Road,7,3745,1696,17233.31752426696
Acton Town,Hounslow Central,42,3745,708,7785.578437254991
Acton Town,Hounslow East,55,3745,843,7039.901913466493
Acton Town,Hounslow West,20,3745,401,9264.645936689314
Acton Town,Hyde Park Corner,34,3745,2410,10321.373842796227
Acton Town,Ickenham,0,3745,282,16951.423965121274
Acton Town,Kennington,2,3745,1161,14724.128852612408
Acton Town,Kentish Town,1,3745,3404,16525.08749551556
Acton Town,Kew Gardens,4,3745,792,5550.02134739922
Acton Town,Kilburn,0,3745,1953,14243.189412515001
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.376807222725
Acton Town,Kingsbury,0,3745,1018,21519.93642416847
Acton Town,Knightsbridge,64,3745,6821,9737.432509893662
Acton Town,Ladbroke Grove,9,3745,2131,7561.142797457374
Acton Town,Lambeth North,6,3745,1319,13537.636510255765
Acton Town,Lancaster Gate,1,3745,1820,10533.131898406278
Acton Town,Latimer Road,6,3745,1109,6901.578750238528
Acton Town,Leicester Square,52,3745,8847,12253.534421920072
Acton Town,Leyton,0,3745,1447,25178.032714098696
Acton Town,Leytonstone,0,3745,1844,26841.89873553265
Acton Town,Liverpool Street,55,3745,61122,16348.349141760886
Acton Town,London Bridge,39,3745,29930,14718.704184185148
Acton Town,Manor House,1,3745,1311,19788.905060704186
Acton Town,Mansion House,41,3745,7815,14997.835377986215
Acton Town,Marble Arch,1,3745,6145,11751.710796096828
Acton Town,Marylebone,1,3745,4250,11665.223914980445
Acton Town,Mile End,3,3745,3759,20258.505853349197
Acton Town,Mill Hill East,2,3745,681,25515.11532525836
Acton Town,Moorgate,14,3745,24574,16283.675021535308
Acton Town,Morden,0,3745,1447,24469.665451609668
Acton Town,Mornington Crescent,5,3745,2927,14656.956032993901
Acton Town,Newbury Park,0,3745,559,33505.30442580269
Acton Town,North Acton,3,3745,3168,6020.21818813672
Acton Town,North Ealing,20,3745,332,1951.0038549526616
Acton Town,North Greenwich,13,3745,6276,22227.590222377326
Acton Town,Northfields,30,3745,864,2580.8375257157804
Acton Town,Northolt,1,3745,663,14119.193061416376
Acton Town,Northwick Park,3,3745,1713,15450.392418229272
Acton Town,Northwood,2,3745,1018,21389.825259658337
Acton Town,Northwood Hills,1,3745,488,19803.18521906359
Acton Town,Notting Hill Gate,7,3745,5490,9036.688453405553
Acton Town,Oakwood,0,3745,423,29745.806382322167
Acton Town,Old Street,28,3745,15897,17137.18174493035
Acton Town,Osterley,22,3745,521,6072.425631544717
Acton Town,Oval,1,3745,2544,15639.274173014279
Acton Town,Oxford Circus,38,3745,44368,12111.787369702215
Acton Town,Paddington,31,3745,20198,10273.739117743173
Acton Town,Park Royal,39,3745,1552,3050.637468473962
Acton Town,Parsons Green,29,3745,2711,8987.687001770146
Acton Town,Perivale,1,3745,532,10704.380918489214
Acton Town,Piccadilly Circus,85,3745,13641,11878.851304935206
Acton Town,Pimlico,10,3745,5585,12175.441879140764
Acton Town,Pinner,0,3745,292,17644.579508484854
Acton Town,Plaistow,2,3745,1049,24034.287147522802
Acton Town,Preston Road,0,3745,411,17183.508594580275
Acton Town,Putney Bridge,21,3745,2494,9982.125838415623
Acton Town,Queensbury,0,3745,439,22765.922071562713
Acton Town,Ravenscourt Park,43,3745,1895,3542.069921073178
Acton Town,Rayners Lane,4,3745,426,11541.35005968851
Acton Town,Redbridge,0,3745,198,29689.80962548807
Acton Town,Regent's Park,10,3745,3364,12892.695896271762
Acton Town,Richmond,33,3745,5397,7718.141583137271
Acton Town,Rickmansworth,0,3745,937,27005.232697827152
Acton Town,Royal Oak,9,3745,856,9336.45665723555
Acton Town,Ruislip,1,3745,257,15165.766098224716
Acton Town,Ruislip Manor,0,3745,408,14486.88480507348
Acton Town,Russell Square,44,3745,5172,13958.402387584225
Acton Town,Seven Sisters,6,3745,10191,22078.731860086416
Acton Town,Shepherd's Bush,0,3745,9890,9320.611801619438
Acton Town,Shepherd's Bush Market,1,3745,416,5821.485321736156
Acton Town,Sloane Square,34,3745,8229,9609.855188145997
Acton Town,South Ealing,21,3745,670,2127.901160341327
Acton Town,South Harrow,12,3745,387,9735.821308640107
Acton Town,South Kensington,131,3745,15325,8436.649562603128
Acton Town,South Ruislip,0,3745,289,16443.128968422643
Acton Town,South Woodford,0,3745,766,29815.9561624365
Acton Town,Southfields,15,3745,1351,12671.5084282686
Acton Town,Southgate,1,3745,874,27880.176594505145
Acton Town,Southwark,32,3745,10326,13620.37332107691
Acton Town,St. James's Park,64,3745,13339,11552.877286778314
Acton Town,St. John's Wood,2,3745,3982,14236.069633065119
Acton Town,St. Paul's,27,3745,13446,14912.593460367048
Acton Town,Stamford Brook,13,3745,784,2832.7914811331116
Acton Town,Stepney Green,2,3745,1879,19229.25887934132
Acton Town,Stockwell,2,3745,1623,14507.594088193024
Acton Town,Stratford,10,3745,55954,23046.693316231176
Acton Town,Sudbury Hill,15,3745,277,8250.374080157539
Acton Town,Sudbury Town,13,3745,218,6633.3790066598895
Acton Town,Swiss Cottage,3,3745,2598,14628.648894729513
Acton Town,Temple,15,3745,6780,13585.552933740308
Acton Town,Tooting Bec,1,3745,1239,19502.695700192173
Acton Town,Tooting Broadway,3,3745,4506,20577.619027014625
Acton Town,Tottenham Court Road,10,3745,19126,12839.463962304577
Acton Town,Tottenham Hale,4,3745,3239,23232.28858983597
Acton Town,Totteridge & Whetstone,1,3745,287,27653.32601512876
Acton Town,Tower Hill,28,3745,8286,16346.57295410267
Acton Town,Tufnell Park,1,3745,557,17289.671272891526
Acton Town,Turnham Green,20,3745,1515,2222.512496496671
Acton Town,Turnpike Lane,3,3745,992,22110.54179450668
Acton Town,Upminster,0,3745,1132,41457.600409677216
Acton Town,Upney,0,3745,485,30445.239258763388
Acton Town,Upton Park,0,3745,1642,25355.397528925932
Acton Town,Uxbridge,41,3745,4316,20220.25748044925
Acton Town,Vauxhall,21,3745,16242,13000.756168904732
Acton Town,Victoria,53,3745,33251,10775.589912109186
Acton Town,Walthamstow Central,1,3745,5271,26205.431097311193
Acton Town,Warren Street,25,3745,17309,13261.473332400612
Acton Town,Waterloo,32,3745,23466,12963.95815364059
Acton Town,Watford,1,3745,961,28572.929800803362
Acton Town,Wembley Park,1,3745,5759,18603.220267700475
Acton Town,West Acton,3,3745,488,4208.7626364578355
Acton Town,West Brompton,17,3745,5859,7342.60512258647
Acton Town,West Ham,0,3745,5487,23104.433861316556
Acton Town,West Hampstead,1,3745,5856,13227.580854408954
Acton Town,West Harrow,0,3745,122,12905.42984855941
Acton Town,West Kensington,14,3745,1345,5834.12001100199
Acton Town,Westbourne Park,9,3745,1347,8367.064645033428
Acton Town,Westminster,33,3745,15466,12113.61559313687
Acton Town,White City,3,3745,5966,9157.87067417575
Acton Town,Whitechapel,10,3745,17633,18149.11583157021
Acton Town,Willesden Green,0,3745,830,15428.23550315262
Acton Town,Wimbledon,77,3745,6295,15686.997372181886
Acton Town,Wimbledon Park,3,3745,596,14031.124352694023
Acton Town,Wood Green,6,3745,2146,23041.35494863059
Acton Town,Wood Lane,9,3745,1578,6347.733829207181
Acton Town,Woodford,0,3745,706,31527.899974155418
Acton Town,Woodside Park,0,3745,745,26176.217682540264
Aldgate,Acton Town,0,2886,2202,16943.75144166295
Aldgate,Aldgate East,0,2886,7932,1436.401300553029
Aldgate,Amersham,0,2886,256,45233.13664378031
Aldgate,Angel,17,2886,8103,3530.2823207542215
Aldgate,Archway,2,2886,2193,9480.260470732826
Aldgate,Arnos Grove,0,2886,748,15499.953247184201
Aldgate,Arsenal,2,2886,315,7498.954628862268
Aldgate,Baker Street,167,2886,14973,6668.507355689616
Aldgate,Balham,0,2886,3814,10717.989560573971
Aldgate,Bank and Monument,5,2886,78549,1436.8931818022454
Aldgate,Barbican,221,2886,9134,1863.4249222399599
Aldgate,Barking,0,2886,7004,13328.553001299259
Aldgate,Barkingside,0,2886,262,18903.211087624197
Aldgate,Barons Court,0,2886,2956,11673.298161588005
Aldgate,Bayswater,1,2886,615,10321.158532193353
Aldgate,Belsize Park,1,2886,2255,8476.076932285738
Aldgate,Bermondsey,0,2886,3172,4411.393217125407
Aldgate,Bethnal Green,0,2886,4660,3129.2612816848186
Aldgate,Blackfriars,11,2886,10849,2674.6295754480716
Aldgate,Blackhorse Road,2,2886,2955,12662.005524865268
Aldgate,Bond Street,13,2886,20967,6172.680438764523
Aldgate,Borough,1,2886,3254,2838.1854676646753
Aldgate,Boston Manor,0,2886,892,20455.419369933956
Aldgate,Bounds Green,2,2886,778,14145.705820422158
Aldgate,Bow Road,0,2886,1193,5134.029775592057
Aldgate,Brent Cross,0,2886,450,13554.837806276937
Aldgate,Brixton,2,2886,5084,8284.738052142098
Aldgate,Buckhurst Hill,0,2886,228,18128.84606205121
Aldgate,Burnt Oak,0,2886,649,18147.35313582449
Aldgate,Caledonian Road,10,2886,1803,6216.94989173667
Aldgate,Camden Town,8,2886,6348,6444.220657080238
Aldgate,Canada Water,0,2886,20443,5238.627007358373
Aldgate,Canary Wharf,1,2886,58772,6564.325825821797
Aldgate,Canning Town,0,2886,15428,8612.086852081618
Aldgate,Cannon Street,4,2886,4698,1766.2008648107637
Aldgate,Canons Park,2,2886,526,23325.324547725228
Aldgate,Chalfont & Latimer,1,2886,554,41847.4703464401
Aldgate,Chalk Farm,1,2886,1329,7437.986533953846
Aldgate,Chancery Lane,5,2886,15391,3381.5426795183016
Aldgate,Charing Cross,0,2886,7016,4561.55947426172
Aldgate,Chesham,0,2886,243,48163.35533494891
Aldgate,Chigwell,0,2886,148,19376.32069605514
Aldgate,Chorleywood,0,2886,702,38334.61606080095
Aldgate,Clapham Common,0,2886,2020,8293.070423894738
Aldgate,Clapham North,0,2886,1238,7650.316356285345
Aldgate,Clapham South,1,2886,1513,9545.377387737228
Aldgate,Cockfosters,1,2886,262,20688.685928732615
Aldgate,Colindale,4,2886,2081,16840.953379791397
Aldgate,Colliers Wood,0,2886,865,14048.423248566314
Aldgate,Covent Garden,2,2886,4355,4579.941954344812
Aldgate,Croxley,0,2886,340,34296.15061639297
Aldgate,Debden,0,2886,865,22016.39844751073
Aldgate,Dollis Hill,4,2886,847,14405.562024769522
Aldgate,Ealing Broadway,0,2886,4846,19048.96688446277
Aldgate,Ealing Common,0,2886,915,17970.36377622991
Aldgate,Earl's Court,2,2886,6613,10168.52554254884
Aldgate,East Acton,4,2886,1505,14440.129284447668
Aldgate,East Finchley,0,2886,1253,12819.460245155995
Aldgate,East Ham,0,2886,2062,10906.269348552334
Aldgate,East Putney,0,2886,1877,14433.960693065226
Aldgate,Eastcote,2,2886,364,26350.537927679685
Aldgate,Edgware,0,2886,772,19665.467615078192
Aldgate,Edgware Road,25,2886,6868,7703.32621307949
Aldgate,Elephant & Castle,1,2886,6427,3659.3049594337253
Aldgate,Embankment,14,2886,10220,4221.233643438594
Aldgate,Epping,0,2886,498,27963.78573969304
Aldgate,Euston,4,2886,16800,5070.644556097811
Aldgate,Euston Square,353,2886,8093,5221.756370790346
Aldgate,Fairlop,0,2886,182,20071.91714378273
Aldgate,Farringdon,677,2886,25592,2324.327391828734
Aldgate,Finchley Central,1,2886,1921,15189.99920769268
Aldgate,Finchley Road,30,2886,3417,10203.092436833518
Aldgate,Finsbury Park,8,2886,6769,8271.705146594857
Aldgate,Fulham Broadway,0,2886,4200,11678.655647876445
Aldgate,Gants Hill,0,2886,601,15414.92249762316
Aldgate,Gloucester Road,0,2886,5194,9258.423512117062
Aldgate,Golders Green,1,2886,1871,12039.74935127789
Aldgate,Goldhawk Road,0,2886,370,13383.473676003541
Aldgate,Goodge Street,0,2886,6457,5388.526725184308
Aldgate,Great Portland Street,228,2886,6936,5841.703239953988
Aldgate,Green Park,3,2886,26754,5910.967460120382
Aldgate,Greenford,0,2886,1157,21901.206424086606
Aldgate,Gunnersbury,0,2886,4775,16268.52531771714
Aldgate,Hainault,1,2886,356,20950.581564311586
Aldgate,Hammersmith,2,2886,18250,12567.11606067454
Aldgate,Hampstead,2,2886,2010,9654.063883100207
Aldgate,Hanger Lane,0,2886,1493,18074.910776298806
Aldgate,Harlesden,1,2886,1668,14826.858625210827
Aldgate,Harrow & Wealdstone,0,2886,1335,23494.53974962592
Aldgate,Harrow-on-the-Hill,22,2886,3019,21925.294776183542
Aldgate,Hatton Cross,0,2886,1219,29011.829688535217
Aldgate,Heathrow Terminal 4,0,2886,693,30888.16235460545
Aldgate,Heathrow Terminal 5,1,2886,975,33879.74088969928
Aldgate,Heathrow Terminals 2 & 3,3,2886,2406,31424.508834534485
Aldgate,Hendon Central,2,2886,1878,14688.45809024972
Aldgate,High Barnet,0,2886,953,21443.002299131353
Aldgate,High Street Kensington,18,2886,5427,10263.529266648362
Aldgate,Highbury & Islington,1,2886,25385,6764.110382996118
Aldgate,Highgate,1,2886,856,11070.458176595228
Aldgate,Hillingdon,1,2886,318,31065.725394517583
Aldgate,Holborn,19,2886,22346,3947.01760631443
Aldgate,Holland Park,3,2886,2063,10270.845800936098
Aldgate,Holloway Road,8,2886,1696,6832.243085804299
Aldgate,Hounslow Central,0,2886,708,24729.329878917943
Aldgate,Hounslow East,0,2886,843,23983.653355129445
Aldgate,Hounslow West,0,2886,401,26208.397378352267
Aldgate,Hyde Park Corner,1,2886,2410,6690.837587478113
Aldgate,Ickenham,0,2886,282,29941.294809607636
Aldgate,Kennington,0,2886,1161,4498.857234148299
Aldgate,Kensal Green,0,2886,472,12327.448447921102
Aldgate,Kentish Town,1,2886,3404,7722.151872721545
Aldgate,Kew Gardens,0,2886,792,18048.747796068827
Aldgate,Kilburn,1,2886,1953,11974.424176262666
Aldgate,Kilburn Park,1,2886,823,11063.92336487764
Aldgate,King's Cross St. Pancras,351,2886,33330,4182.302368760063
Aldgate,Kingsbury,2,2886,1018,20386.066852630905
Aldgate,Knightsbridge,1,2886,6821,7274.778920380678
Aldgate,Ladbroke Grove,9,2886,2131,11204.536378525414
Aldgate,Lambeth North,0,2886,1319,4553.471644637537
Aldgate,Lancaster Gate,0,2886,1820,8074.683219196187
Aldgate,Latimer Road,4,2886,1109,11864.10042574426
Aldgate,Leicester Square,1,2886,8847,4945.464146222036
Aldgate,Leyton,0,2886,1447,9445.404190216846
Aldgate,Leytonstone,0,2886,1844,11109.2702116508
Aldgate,Liverpool Street,67,2886,61122,722.06875415281
Aldgate,London Bridge,2,2886,29930,2323.6046160183055
Aldgate,Loughton,0,2886,655,19964.30164963648
Aldgate,Maida Vale,2,2886,949,10212.151387074804
Aldgate,Manor House,6,2886,1311,9387.830622241527
Aldgate,Mansion House,5,2886,7815,2014.3760522881262
Aldgate,Marble Arch,5,2886,6145,6856.104321505636
Aldgate,Marylebone,3,2886,4250,7206.796687021299
Aldgate,Mile End,0,2886,3759,4509.111386806802
Aldgate,Mill Hill East,0,2886,681,16712.179702464346
Aldgate,Moor Park,0,2886,550,31386.05996656697
Aldgate,Moorgate,112,2886,24574,1156.1487731266857
Aldgate,Morden,0,2886,1447,16660.09193847996
Aldgate,Mornington Crescent,0,2886,2927,5854.020410199885
Aldgate,Neasden,1,2886,732,15191.130211563406
Aldgate,Newbury Park,0,2886,559,17772.67590192084
Aldgate,North Acton,1,2886,3168,15620.635294362846
Aldgate,North Greenwich,0,2886,6276,8394.101175701517
Aldgate,North Harrow,2,2886,190,23904.883775596743
Aldgate,North Wembley,0,2886,365,19387.994031222996
Aldgate,Northfields,0,2886,864,19524.58896737873
Aldgate,Northolt,0,2886,663,23719.610167642502
Aldgate,Northwick Park,20,2886,1713,20622.17854563411
Aldgate,Northwood,2,2886,1018,29167.843848162043
Aldgate,Northwood Hills,1,2886,488,27581.203807567297
Aldgate,Notting Hill Gate,7,2886,5490,9571.12666419691
Aldgate,Oakwood,0,2886,423,19344.731943859515
Aldgate,Old Street,8,2886,15897,2009.6554965217256
Aldgate,Osterley,0,2886,521,23016.17707320767
Aldgate,Oval,1,2886,2544,5414.00255455017
Aldgate,Oxford Circus,15,2886,44368,5618.35015460888
Aldgate,Paddington,73,2886,20198,8491.940058239616
Aldgate,Parsons Green,0,2886,2711,12380.986645204875
Aldgate,Perivale,0,2886,532,20304.79802471534
Aldgate,Piccadilly Circus,4,2886,13641,5133.360125339133
Aldgate,Pimlico,0,2886,5585,7568.013496585341
Aldgate,Pinner,1,2886,292,25422.59809698856
Aldgate,Plaistow,0,2886,1049,8284.892680980409
Aldgate,Preston Road,5,2886,411,18889.062369283107
Aldgate,Putney Bridge,0,2886,2494,13375.425481850352
Aldgate,Queen's Park,4,2886,2167,10942.849550191248
Aldgate,Queensbury,0,2886,439,21632.052500025147
Aldgate,Queensway,0,2886,1882,8932.81608648303
Aldgate,Rayners Lane,1,2886,426,24531.22090417487
Aldgate,Redbridge,0,2886,198,13957.181101606217
Aldgate,Richmond,0,2886,5397,20216.868031806876
Aldgate,Rickmansworth,3,2886,937,34783.25128633086
Aldgate,Royal Oak,3,2886,856,9429.222518747238
